"year","race","total","standard_errors"
2004,"Black",81.1,-0.32
2004,"Hispanic",58.4,-0.32
2004,"Asian",86.9,-0.44
2004,"Pacific Islander",88.5,-1.91
2004,"Indigenous",77.8,-1.61
2004,"Two or more race",87.2,-0.91
2005,"Total",85.2,-0.14
2005,"White",90.1,-0.16
2005,"Black",81.4,-0.44
2005,"Hispanic",58.5,-0.53
2005,"Asian",87.7,-0.62
2005,"Pacific Islander",90.1,-2.69
2005,"Indigenous",75.6,-2.02
2005,"Two or more race",88.6,-0.83
2006,"Total",85.5,-0.15
2006,"White",90.5,-0.15
2006,"Black",81.2,-0.43
2006,"Hispanic",59.3,-0.58
2006,"Asian",87.5,-0.71
2006,"Pacific Islander",85.7,-2.51
2006,"Indigenous",78.5,-2.11
2006,"Two or more race",88.1,-0.9
2007,"Total",85.7,-0.15
2007,"White",90.6,-0.15
2007,"Black",82.8,-0.39
2007,"Hispanic",60.3,-0.56
2007,"Asian",87.9,-0.81
2007,"Pacific Islander",88.6,-2.3
2007,"Indigenous",80.3,-2.27
2007,"Two or more race",89.3,-0.87
2008,"Total",86.6,-0.15
2008,"White",91.5,-0.15
2008,"Black",83.3,-0.4
2008,"Hispanic",62.3,-0.58
2008,"Asian",88.8,-0.64
2008,"Pacific Islander",94.4,-1
2008,"Indigenous",78.4,-2.74
2008,"Two or more race",89.5,-1.12
2009,"Total",86.7,-0.15
2009,"White",91.6,-0.15
2009,"Black",84.2,-0.44
2009,"Hispanic",61.9,-0.56
2009,"Asian",88.3,-0.63
2009,"Pacific Islander",90.8,-1.76
2009,"Indigenous",81.5,-1.83
2009,"Two or more race",87.4,-0.96
2010,"Total",87.1,-0.13
2010,"White",92.1,-0.14
2010,"Black",84.6,-0.41
2010,"Hispanic",62.9,-0.53
2010,"Asian",89.1,-0.68
2010,"Pacific Islander",90.2,-1.95
2010,"Indigenous",80.8,-1.76
2010,"Two or more race",88.9,-0.9
2011,"Total",87.6,-0.13
2011,"White",92.4,-0.14
2011,"Black",84.8,-0.41
2011,"Hispanic",64.3,-0.54
2011,"Asian",88.7,-0.57
2011,"Pacific Islander",90.4,-1.61
2011,"Indigenous",82.3,-1.77
2011,"Two or more race",89.4,-1
2012,"Total",87.6,-0.15
2012,"White",92.5,-0.14
2012,"Black",85.7,-0.4
2012,"Hispanic",65,-0.59
2012,"Asian",89,-0.61
2012,"Pacific Islander",91.6,-1.33
2012,"Indigenous",81.8,-1.69
2012,"Two or more race",91,-0.89
2013,"Total",88.2,-0.14
2013,"White",92.9,-0.13
2013,"Black",85.9,-0.42
2013,"Hispanic",66.2,-0.52
2013,"Asian",90.2,-0.53
2013,"Pacific Islander",89.5,-1.72
2013,"Indigenous",82.2,-1.68
2013,"Two or more race",92.6,-0.75
2014,"Total",88.3,-0.15
2014,"White",93.1,-0.17
2014,"Black",86.7,-0.45
2014,"Hispanic",66.5,-0.57
2014,"Asian",89.5,-0.64
2014,"Pacific Islander",88.8,-2.15
2014,"Indigenous",81,-2.01
2014,"Two or more race",93.3,-0.88
2015,"Total",88.4,-0.12
2015,"White",93.3,-0.13
2015,"Black",87.7,-0.37
2015,"Hispanic",66.7,-0.48
2015,"Asian",89.1,-0.51
2015,"Pacific Islander",85.1,-2.04
2015,"Indigenous",83.8,-1.64
2015,"Two or more race",91.6,-0.87
2016,"Total",89.1,-0.13
2016,"White",93.8,-0.13
2016,"Black",87.7,-0.34
2016,"Hispanic",68.5,-0.48
2016,"Asian",90.6,-0.51
2016,"Pacific Islander",93.3,-1.38
2016,"Indigenous",84.7,-1.35
2016,"Two or more race",92.8,-0.83
